"150872","Chris Evans","6","5","14","16","8.0","8, 9, 6, 8, 9, 8","Knives Out, Snowpiercer, The Red Sea Diving Resort, Scott Pilgrim Vs The World, Sunshine, The Gray Man"
"150873","Ryan Gosling","6","5","15","17","8.0","8, 9, 7, 8, 8, 8","Fracture, La La Land, Nice Guys, The Ides Of March, Drive, The Gray Man"
"150874","Leonardo DiCaprio","6","5","16","18","7.8","6, 8, 9, 9, 8, 7","The Revolutionary Road, Blood Diamond, The Departed, Django Unchained, Don’T Look Up, Body Of Lies"
"150875","Jon Bernthal","6","5","17","20","7.5","7, 7, 9, 7, 7, 8","Sicario, The Peanut Butter Falcon, Ford V Ferrari, Baby Driver, The Unforgivable, King Richard"
"150876","Tilda Swinton","6","6","18","11","7.2","9, 6, 6, 7, 8, 7","Snowpiercer, Okja, The Personal History Of David Copperfield, Burn After Reading, The Curious Case Of Benjamin Button, The French Dispatch"
"150877","Frances McDormand","6","6","19","12","7.2","8, 6, 9, 7, 6, 7","Primal Fear, Nomadland, Three Billboards Outside Ebbing Missouri, Burn After Reading, Fargo, The French Dispatch"
"150878","Richard Jenkins","6","5","20","28","6.7","7, 7, 7, 7, 6, 6","Shape Of Water, The Cabin In The Woods, Killing Them Softly, Burn After Reading, Kajillionaire, Nightmare Alley"
"150879","Mark Strong","5","4","21","35","8.0","8, 8, 8, 9, 7","Sherlock Holmes, Rocknrolla, Kingsman: The Golden Circle, Sunshine, Body Of Lies"
"150880","Bryan Cranston","5","5","22","19","7.8","7, 9, 8, 7, 8","Trumbo, Last Flag Flying, Argo, The Upside, Drive"
"150881","Jude Law","5","4","23","41","7.6","8, 7, 9, 6, 8","Sherlock Holmes, Sherlock Holmes: A Game Of Shadows, King Arthur: Legend Of The Sword, Contagion, The Talented Mr. Ripley"
"150882","Eddie Marsan","5","5","24","21","7.4","8, 8, 7, 7, 7","The Gentlemen, Sherlock Holmes, Sherlock Holmes: A Game Of Shadows, The Illusionist, Wrath Of Man"
"150883","Kang-ho Song","5","5","25","22","7.4","9, 8, 5, 8, 7","Snowpiercer, Parasite, The Host, Memories Of Murder, Sympathy For Mr. Vengeance"
"150884","Cate Blanchett","5","3","26","104","7.4","8, 8, 7, 6, 8","The Curious Case Of Benjamin Button, Don’T Look Up, Ocean’S 8, Nightmare Alley, The Talented Mr. Ripley"
"150885","Daniel Craig","5","5","27","23","6.8","8, 7, 6, 6, 7","Knives Out, Capote, Dream House, The Jacket, No Time To Die"
"150886","Mahershala Ali","5","5","28","24","6.8","7, 5, 5, 9, 8","Green Book, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, Alita: Battle Angel, The Curious Case Of Benjamin Button"
"150887","Adam Driver","5","5","29","25","6.8","8, 6, 5, 8, 7","Marriage Story, Blackkklansman, Paterson, The Report, Inside Llewyn Davis"
"150888","Jon Hamm","5","5","30","26","6.8","7, 8, 6, 7, 6","The Town, The Report, Top Gun, Baby Driver, No Sudden Move"
"150889","Patricia Clarkson","5","5","31","27","6.8","8, 7, 8, 6, 5","The Maze Runner, The Untouchables, The Green Mile, Maze Runner: The Scorch Trials, Maze Runner: The Death Cure"
"150890","Lily James","5","5","32","29","6.6","7, 8, 6, 5, 7","Darkest Hour, Yesterday, Rebecca, Sorry To Bother You, Baby Driver"
"150891","Jennifer Lawrence","5","5","33","30","6.4","7, 5, 5, 7, 8","The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, American Hustle, Don’T Look Up"
"150892","Donald Sutherland","5","5","34","31","6.2","7, 7, 5, 5, 7","Ad Astra, The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, A Time To Kill"
"150893","Naomi Watts","5","5","35","32","6.2","6, 6, 7, 5, 7","Dream House, The International, Luce, Penguin Bloom, Fair Game"
"150894","Stanley Tucci","5","5","36","33","6.0","7, 7, 5, 5, 6","Spotlight, The Hunger Games: Catching Fire, The Hunger Games: Mockingjay Part I, The Hunger Games: Mockingjay Part Ii, The King’S Man"
"150895","Diane Keaton","4","4","37","34","8.2","7, 9, 9, 8","Book Club, The Godfather, The Godfather Part 2, The Godfather Part 3"
"150896","J.K. Simmons","4","4","38","36","8.0","9, 8, 7, 8","La La Land, Palm Springs, Burn After Reading, 21 Bridges"
"150897","Sam Rockwell","4","4","39","37","8.0","7, 8, 8, 9","Jojo Rabbit, The Assassination Of Jesse James By The Coward Robert Ford, The Green Mile, Three Billboards Outside Ebbing Missouri"
"150898","Melanie Lynskey","4","4","40","38","7.8","7, 7, 9, 8","The Informant!, Away We Go, The Perks Of Being A Wallflower, Don’T Look Up"
"150899","Ana de Armas","4","3","41","85","7.8","8, 8, 7, 8","Knives Out, War Dogs, No Time To Die, The Gray Man"
"150900","Jeremy Renner","4","4","42","39","7.8","7, 8, 7, 9","The Town, The Assassination Of Jesse James By The Coward Robert Ford, American Hustle, Arrival"
"150901","Eiza González","4","4","43","40","7.8","9, 7, 8, 7","Alita: Battle Angel, Baby Driver, I Care A Lot, Godzilla Vs Kong"
"150902","Cliff Curtis","4","4","44","42","7.5","8, 8, 5, 9","Fracture, Doctor Sleep, The Meg, Sunshine"
"150903","Michael Stuhlbarg","4","4","45","43","7.5","7, 7, 7, 9","Shape Of Water, Trumbo, Steve Jobs, Arrival"
"150904","Liev Schreiber","4","3","46","103","7.5","7, 8, 7, 8","Spotlight, Scream (1996), Scream 2, King Richard"
"150905","Helena Bonham Carter","4","4","47","44","7.5","8, 9, 6, 7","KingS Speech, Big Fish, Enola Holmes, Ocean’S 8"
"150906","Amy Adams","4","4","48","45","7.5","7, 7, 9, 7","Big Eyes, American Hustle, Arrival, The Master"
"150907","Clive Owen","4","2","49","335","7.2","7, 6, 7, 9","Inside Man, The International, The Bourne Identity, Children Of Men"
"150908","Ed Harris","4","4","50","46","7.2","9, 6, 6, 8","Snowpiercer, Run All Night, Top Gun, The Lost Daughter"
"150909","Rachel McAdams","4","4","51","47","7.2","8, 7, 7, 7","Sherlock Holmes, Spotlight, State Of Play, Sherlock Holmes: A Game Of Shadows"
"150910","Russell Crowe","4","3","52","123","7.2","7, 7, 8, 7","Nice Guys, State Of Play, L.A. Confidential, Body Of Lies"
"150911","Djimon Hounsou","4","4","53","48","7.2","8, 9, 6, 6","Blood Diamond, King Arthur: Legend Of The Sword, A Quiet Place Part 2, The King’S Man"
"150912","Jamie Foxx","4","3","54","124","7.2","6, 7, 9, 7","Just Mercy, Baby Driver, Django Unchained, Qt8 The First Eight"
"150913","Ben Affleck","4","4","55","49","7.2","7, 7, 7, 8","State Of Play, The Town, The Way Back, Argo"
"150914","Jason Bayle","4","4","56","50","7.2","7, 7, 8, 7","Trumbo, Happy Death Day 2U, Our Friend, Happy Death Day"
"150915","Tate Donovan","4","4","57","51","7.2","7, 8, 7, 7","Rocketman, Argo, The Upside, Manchester By The Sea"
"150916","Carey Mulligan","4","4","58","52","7.2","7, 7, 8, 7","Mudbound, Promising Young Woman, Drive, Inside Llewyn Davis"
"150917","Mark Rylance","4","4","59","53","7.2","7, 7, 8, 7","Ready Player One, Dunkirk, Don’T Look Up, The Trial Of Chicago 7"
"150918","Casey Affleck","4","4","60","54","7.2","6, 8, 7, 8","The Old Man & The Gun, The Assassination Of Jesse James By The Coward Robert Ford, Manchester By The Sea, Our Friend"
