"ID","Movies","Date","Genre","Rating","IMDB","Metacritic","Year","Director","Writer","Cast","Search","Budget","Revenue","Oscar"
"62","Hunt for the wilderpeople","08/06/2020","Adventure, Comedy, Drama","8","7.9","81","2016","Taika Waititi","Taika Waititi, Barry Crump","Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby, Troy Kingi, Taika Waititi, Hamish Parkinson, Stu Giles, Lloyd Scott",,"0","24008506",
"63","Paterson","08/06/2020","Comedy, Drama, Romance","5","7.4","90","2016","Jim Jarmusch","Jim Jarmusch, William Carlos Williams","Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji, Dominic Liriano, Jaden Michael, Barry Shabaka Henley, Trev Parham, Troy T. Parham, Brian McCarthy, Frank Harts, Luis Da Silva Jr., Chasten Harmon, William Jackson Harper, Method Man",,"5000000","9588282",
"64","Trumbo","12/06/2020","Biography, Crime, Drama","7","7.5","60","2015","Jay Roach","John McNamara, Bruce Cook","Bryan Cranston, Michael Stuhlbarg, David Maldonado, John Getz, Diane Lane, Laura Flannery, Helen Mirren, David James Elliott, Toby Nichols, Joseph S. Martino, Madison Wolfe, Jason Bayle, James DuMont, Alan Tudyk, Louis C.K.",,"15000000","11430025","A:N"
"65","Dredd","14/06/2020","Action, Crime, Sci-Fi","5","7.1","60","2012","Pete Travis","John Wagner, Carlos Ezquerra","Karl Urban, Rachel Wood, Andile Mngadi, Porteus Xandau, Jason Cope, Emma Breschi, Olivia Thirlby, Rakie Ayola, Lena Headey, Tamer Burjaq, Warrick Grier, Wood Harris, Shoki Mokgapa, Yohan Chun, Eden Knowles",,"50000000","41037742",
"66","Mirage","19/06/2020","Drama, Fantasy, Mystery, Romance, Thriller","8","7.4","0","2018","Oriol Paulo","Oriol Paulo, Lara Sendim","Adriana Ugarte, Chino Darín, Javier Gutiérrez, Álvaro Morte, Nora Navas, Miquel Fernández, Clara Segura, Mima Riera, Aina Clotet, Albert Pérez, Julio Bohigas-Couto, Luna Fulgencio, Marco de Francisco, Ruth Llopis, Joel Illescas",,"0","17325485",
"67","Don’t Breathe","21/06/2020","Crime, Horror, Thriller","7","7.1","71","2016","Fede Alvarez","Fede Alvarez, Rodo Sayagues","Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto, Emma Bercovici, Franciska Töröcsik, Christian Zagia, Katia Bokor, Sergej Onopko, Olivia Gillies, Dayna Clark, Athos, Astor, Nomad","Don’t Breathe","9900000","157830487",
"68","Unknown","25/06/2020","Action, Mystery, Thriller","6","6.8","56","2011","Jaume Collet-Serra","Oliver Butcher, Stephen Cornwell","Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Olivier Schneider, Stipe Erceg, Rainer Bock, Mido Hamada, Clint Dyer, Karl Markovics, Eva Löbau, Helen Wiebensohn",,"30000000","135710029",
"69","Hush","26/06/2020","Horror, Thriller","6","6.6","67","2016","Mike Flanagan","Mike Flanagan, Kate Siegel","John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan, Emma Graves",,"1000000","0",
"70","The Town","26/06/2020","Crime, Drama, Thriller","7","7.5","74","2010","Ben Affleck","Peter Craig, Ben Affleck","Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Blake Lively, George Carroll, Owen Burke, Titus Welliver, Pete Postlethwaite, Chris Cooper, Dennis McLaughlin, Corena Chase, Brian Scannell, Kerri Dunbar, Tony V.",,"37000000","154026136","a:N"
"71","Prisoners","27/06/2020","Crime, Drama, Mystery, Thriller","7","8.1","70","2013","Denis Villeneuve","Aaron Guzikowski","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano, Dylan Minnette, Zoë Soul, Erin Gerasimovich, Kyla-Drew, Wayne Duvall, Len Cariou, David Dastmalchian, Brad James",,"46000000","122126687","C:N"
"72","The cabin in the woods","03/07/2020","Horror, Mystery, Thriller","7","7","72","2011","Drew Goddard","Joss Whedon, Drew Goddard","Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams, Richard Jenkins, Bradley Whitford, Brian White, Amy Acker, Tim DeZarn, Tom Lenk, Dan Payne, Jodelle Ferland, Dan Shea, Maya Massar",,"30000000","69935600",
"73","Unbreakable Kimmy Schmidt","03/07/2020","Comedy","6","7.6","0","2020","Robert Carlock, Tina Fey","Stars:Ellie Kemper, Jane Krakowski, Tituss Burgess","Ellie Kemper, Tituss Burgess, Carol Kane, Jane Krakowski, Sara Chase, Sol Miranda",,"0","0",
"74","A twelve year night","04/07/2020","Biography, Crime, Drama, History","8","7.5","0","2018","Álvaro Brechner","Álvaro Brechner, Mauricio Rosencoff","Antonio de la Torre, Chino Darín, Alfonso Tort, César Troncoso, Soledad Villamil, Sílvia Pérez Cruz, César Bordón, Mirella Pascual, Nidia Telles, Eduardo Recabarren, Sofia Gravina, Bianca Gravina, Ana Baltar Peretz, Ilay Kurelovic, Lisandro Fiks",,"0","825391",
"75","Heat","10/07/2020","Crime, Drama, Thriller","8","8.2","76","1995","Michael Mann","Michael Mann","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Amy Brenneman, Ashley Judd, Mykelti Williamson, Wes Studi, Ted Levine, Dennis Haysbert, William Fichtner, Natalie Portman, Tom Noonan",,"60000000","187436818",
"76","Pain and glory","11/07/2020","Drama","7","7.5","87","2019","Pedro Almodóvar","Pedro Almodóvar","Antonio Banderas, Asier Etxeandia, Leonardo Sbaraglia, Nora Navas, Julieta Serrano, César Vicente, Asier Flores, Penélope Cruz, Cecilia Roth, Susi Sánchez, Raúl Arévalo, Pedro Casablanc, Julián López, Eva Martín, Sara Sierra",,"0","37359689","A:N/I:N"
"77","Escape room","12/07/2020","Action, Adventure, Horror, Mystery, Thriller","7","6.4","48","2019","Adam Robitel","Bragi F. Schut , Maria Melnik","Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine, Deborah Ann Woll, Nik Dodani, Yorick van Wageningen, Cornelius Geaney Jr., Russell Crous, Bart Fouche, Jessica Sutton, Paul Hampshire, Vere Tindale, Kenneth Fok, Caely-Jo Levy",,"9000000","155712077",
"78","Long Shot","14/07/2020","Comedy, Romance","6","6.8","67","2019","Jonathan Levine","Dan Sterling, Liz Hannah","Charlize Theron, Seth Rogen, June Diane Raphael, O'Shea Jackson Jr., Ravi Patel, Bob Odenkirk, Andy Serkis, Randall Park, Tristan D. Lalla, Alexander Skarsgård, Aladeen Tawfeek, Nathan Morris, Wanya Morris, Shawn Stockman, Isla Dowling",,"40000000","53873809",
"79","Rocketman","17/07/2020","Biography, Drama, Music, Musical","7","7.3","69","2019","Dexter Fletcher","Lee Hall","Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard, Gemma Jones, Steven Mackintosh, Tom Bennett, Matthew Illesley, Kit Connor, Charlie Rowe, Peter O'Hanlon, Ross Farrelly, Evan Walsh, Tate Donovan, Sharmina Harrower",,"40000000","195179299","Z:W"
"80","Dream House","19/07/2020","Drama, Mystery, Thriller","6","6","35","2011","Jim Sheridan","David Loucka","Daniel Craig, Naomi Watts, Rachel Weisz, Elias Koteas, Marton Csokas, Taylor Geare, Claire Geare, Rachel G. Fox, Jane Alexander, Brian Murray, Bernadette Quigley, Sarah Gadon, Gregory Smith, Mark Wilson, David Huband",,"50000000","39984400",
"81","Double Jeopardy","21/07/2020","Crime, Drama, Mystery, Thriller","8","6.5","40","1999","Bruce Beresford","David Weisberg, Douglas Cook","Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau, Bruce Greenwood, John Maclaren, Ed Evanko, Annabeth Gish, Bruce Campbell, Brennan Elliott, Angela Schneider, Michael Gaston, Gillian Barber, Tom McBeath, David Jacox",,"70000000","177841558",
"82","The MUle","24/07/2020","Crime, Drama, Thriller","9","7","58","2018","Clint Eastwood","Nick Schenk, Sam Dolnick","Clint Eastwood, Patrick L. Reyes, Cesar De León, Gustavo Muñoz, Jackie Prucha, Richard Herd, Adam Drescher, Christi McClintock, Keith Flippen, Alison Eastwood, Kinsley Isla Dillon, Dianne Wiest, Joe Knezevich, Megan Leahy, Taissa Farmiga",,"50000000","174804407",
"83","Sherlock Holmes: a game of shadows","26/07/2020","Action, Adventure, Mystery","7","7.5","48","2011","Guy Ritchie","Michele Mulroney, Kieran Mulroney","Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams, Jared Harris, Stephen Fry, Paul Anderson, Kelly Reilly, Geraldine James, Eddie Marsan, William Houston, Wolf Kahler, Iain Mitchell, Jack Laskey, Patricia Slater",,"125000000","543848418",
"84","Lock Stock and Two Smoking Barrels","12/11/2020","Action, Comedy, Crime","8","8.2","66","1998","Guy Ritchie","Guy Ritchie","Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Steven Mackintosh, Nicholas Rowe, Nick Marcq, Charles Forbes, Vinnie Jones, Lenny McLean, Peter McNicholl, P.H. Moriarty, Frank Harper, Steve Sweeney, Huggy Leaver",,"1344000","3753929",
"88","The Man from U.N.C.L.E.","10/12/2020","Action, Adventure, Comedy","7","7.3","56","2015","Guy Ritchie","Guy Ritchie, Lionel Wigram","Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki, Luca Calvani, Sylvester Groth, Hugh Grant, Jared Harris, Christian Berkel, Misha Kuznetsov, Guy Williams, Marianna Di Martino, Julian Michael Deuster, Andrea Cagliesi, Riccardo Calvanese",,"75000000","107045109",
"91","Mudbound","29/07/2020","Drama, War","7","7.4","85","2017","Dee Rees","Virgil Williams, Dee Rees","Carey Mulligan, Jason Clarke, Mary J. Blige, Rob Morgan, Jason Mitchell, Garrett Hedlund, Jonathan Banks, Frankie Smith, Kennedy Derosin, Joshua J. Williams, Elizabeth Windley, Piper Blair, Jason Kirkpatrick, Kerry Cahill, David Jensen",,"0","85955","b:N/s:N/C:N/Z:N"
"98","The Farewell","31/07/2020","Comedy, Drama","7","7.6","89","2019","Lulu Wang","Lulu Wang","Shuzhen Zhao, Awkwafina, X Mayo, Hong Lu, Hong Lin, Tzi Ma, Diana Lin, Yang Xuejian, Becca Khalil, Yongbo Jiang, Han Chen, Aoi Mizuhara, Xiang Li, Hongli Liu, Shimin Zhang",,"0","23076657",
"99","Downfall","01/08/2020","Biography, Drama, History, War","7","8.2","82","2004","Oliver Hirschbiegel","Bernd Eichinger, Joachim Fest","Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes, Juliane Köhler, Heino Ferch, Christian Berkel, Matthias Habich, Thomas Kretschmann, Michael Mendl, André Hennicke, Ulrich Noethen, Birgit Minichmayr, Rolf Kanies, Justus von Dohnányi",,"16065000","92181574","Z:N"
"101","Run All Night","04/08/2020","Action, Crime, Thriller","6","6.6","59","2015","Jaume Collet-Serra","Brad Ingelsby","Liam Neeson, Ed Harris, Joel Kinnaman, Boyd Holbrook, Bruce McGill, Genesis Rodriguez, Vincent D'Onofrio, Lois Smith, Common, Beau Knapp, Patricia Kalember, Daniel Stewart Sherman, James Martinez, Radivoje Bukvic, Tony Naumovski",,"50000000","71561644",
"102","Motherless Brooklyn","07/08/2020","Crime, Drama, Mystery","5","6.8","60","2019","Edward Norton","Edward Norton, Jonathan Lethem","Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Willem Dafoe, Bruce Willis, Ethan Suplee, Cherry Jones, Bobby Cannavale, Dallas Roberts, Josh Pais, Radu Spinghel, Fisher Stevens, Peter Gray Lewis, Robert Wisdom, Michael Kenneth Williams",,"26000000","18477736",
"103","The First Purge","08/08/2020","Action, Horror, Sci-Fi, Thriller","6","5.2","54","2018","Gerard McMurray","James DeMonaco","Y'lan Noel, Lex Scott Davis, Joivan Wade, Mugga, Patch Darragh, Marisa Tomei, Luna Lauren Velez, Kristen Solis, Rotimi Paul, Mo McRae, Jermel Howard, Siya, Christian Robinson, Steve Harris, Derek Basco",,"13000000","137056262",
"104","Doctor Sleep","11/08/2020","Drama, Fantasy, Horror, Thriller","8","7.3","59","2019","Mike Flanagan","Mike Flanagan, Stephen King","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Zahn McClarnon, Emily Alyn Lind, Selena Anduze, Robert Longstreet, Carel Struycken, Katie Parker, James Flanagan, Met Clark, Zackary Momoh, Jocelin Donahue, Dakota Hickman",,"45000000","72381712",
"105","Ready Player One","14/08/2020","Action, Adventure, Sci-Fi","7","7.4","64","2018","Steven Spielberg","Zak Penn, Ernest Cline","Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Philip Zhao, Win Morisaki, Hannah John-Kamen, Ralph Ineson, Susan Lynch, Clare Higgins, Laurence Spellman, Perdita Weeks",,"175000000","582893671","Z:N"
"106","No Country For Old Men","16/08/2020",,"8","8.1","0","2007","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Cormac McCarthy","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald, Garret Dillahunt, Tess Harper, Barry Corbin, Stephen Root, Rodger Boyce, Beth Grant, Ana Reeder, Kit Gwin, Zach Hopkins, Chip Love, Eduardo Antonio Garcia, Gene Jones, Myk Watford",,"0","0","M:W/a:W/D:W/s:W/C:N/E:N/So:N/So:N"
"107","Atonement","21/08/2020","Drama, Mystery, Romance, War","7","7.8","85","2007","Joe Wright","Ian McEwan, Christopher Hampton","Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West, James McAvoy, Harriet Walter, Keira Knightley, Juno Temple, Felix von Simson, Charlie von Simson, Alfie Allen, Patrick Kennedy, Benedict Cumberbatch, Peter Wight, Leander Deeny",,"30000000","131016624","Z:W/M:N/b:N/Z:N/C:N/Z:N/Co:N"
"108","The Way Back","22/08/2020","Drama, Sport","7","6.7","66","2020","Gavin O'Connor","Brad Ingelsby","Ben Affleck, Al Madrigal, Janina Gavankar, Michaela Watkins, Brandon Wilson, Will Ropp, Fernando Luis Vega, Charles Lott Jr., Melvin Gregg, Ben Irving, Jeremy Radin, John Aylward, Da'Vinchi, Matthew Glave, Nico David",,"0","14690514",
"109","The Ides Of March","27/08/2020","Drama, Thriller","8","7.1","67","2011","George Clooney","George Clooney, Grant Heslov","Ryan Gosling, George Clooney, Philip Seymour Hoffman, Paul Giamatti, Evan Rachel Wood, Marisa Tomei, Jeffrey Wright, Max Minghella, Jennifer Ehle, Gregory Itzin, Michael Mantell, Yuriy Sardarov, Bella Ivory, Maya Sayre, Danny Mooney",,"12500000","76338111","Z:N"
"110","Okja","28/08/2020","Action, Adventure, Drama, Sci-Fi","6","7.3","75","2017","Bong Joon Ho","Bong Joon Ho, Jon Ronson","Tilda Swinton, Sheena Kamal, Michael Mitton, Colm Hill, Kathryn Kirkpatrick, Jose Carias, Giancarlo Esposito, Jake Gyllenhaal, Nancy Amelia Bell, Seo-hyun Ahn, Lee Jeong-eun, Byun Hee-Bong, Jaein Kim, Je-mun Yun, Shirley Henderson",,"50000000","2049823",
"111","15 Minutes","29/08/2020","Action, Crime, Drama, Thriller","6","6.1","34","2001","John Herzfeld","John Herzfeld","Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks, Melina Kanakaredes, Karel Roden, Oleg Taktarov, Vera Farmiga, John DiResta, James Handy, Darius McCrary, Bruce Cutler, Charlize Theron, Kim Cattrall, David Alan Grier",,"60000000","56359980",
"112","The Big Lebowski","02/09/2020","Comedy, Crime, Sport","8","8.1","71","1998","Joel Coen, Ethan Coen(uncredited)","Ethan Coen, Joel Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston, Philip Seymour Hoffman, Tara Reid, Philip Moon, Mark Pellegrino, Peter Stormare, Flea, Torsten Voges, Jimmie Dale Gilmore, Jack Kehler, John Turturro",,"15000000","46748672",
"113","Sicario Day Of The Soldado","04/09/2020","Action, Adventure, Crime, Drama, Mystery, Thriller","6","7.1","61","2018","Stefano Sollima","Taylor Sheridan","Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan, Catherine Keener, Manuel Garcia-Rulfo, Matthew Modine, Shea Whigham, Elijah Rodriguez, Howard Ferguson Jr., David Castañeda, Jacqueline Torres, Raoul Max Trujillo, Bruno Bichir, Jake Picking",,"35000000","75837743",
"114","Seven Pounds","05/09/2020","Drama","8","7.6","36","2008","Gabriele Muccino","Grant Nieporte","Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy, Barry Pepper, Elpidia Carrillo, Robinne Lee, Joe Nunez, Bill Smitrovich, Tim Kelleher, Gina Hecht, Andy Milder, Judyann Elder, Sarah Jane Morris, Madison Pettis",,"55000000","169748929",
"115","The International","09/09/2020","Action, Crime, Drama, Mystery, Thriller","6","6.5","52","2009","Tom Tykwer","Eric Warren Singer","Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen, Brían F. O'Byrne, Michel Voletti, Patrick Baladi, Jay Villiers, Fabrice Scott, Haluk Bilginer, Luca Barbareschi, Alessandro Fabrizi, Felix Solis, Jack McGee, Nilaja Sun",,"50000000","60253843",
"116","The Meg","12/09/2020","Action, Horror, Sci-Fi, Thriller","5","5.6","46","2018","Jon Turteltaub","Dean Georgaris, Jon Hoeber","Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis, Winston Chao, Shuya Sophia Cai, Ruby Rose, Page Kennedy, Robert Taylor, Ólafur Darri Ólafsson, Jessica McNamee, Masi Oka, Raymond Vinten, Hongmei Mai, Wei Yi",,"130000000","530259473",
"117","The Maze Runner","13/09/2020","Action, Mystery, Sci-Fi, Thriller","8","6.8","57","2014","Wes Ball","Noah Oppenheim, Grant Pierce Myers","Dylan O'Brien, Aml Ameen, Ki Hong Lee, Blake Cooper, Thomas Brodie-Sangster, Will Poulter, Dexter Darden, Kaya Scodelario, Chris Sheffield, Joe Adler, Alexander Flores, Jacob Latimore, Randall D. Cunningham, Patricia Clarkson, Don McManus",,"34000000","348319861",
"118","The Jacket","18/09/2020","Drama, Fantasy, Mystery, Sci-Fi, Thriller","6","7.1","44","2005","John Maybury","Tom Bleecker, Marc Rocco","Adrien Brody, Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh, Kelly Lynch, Brad Renfro, Daniel Craig, Steven Mackintosh, Brendan Coyle, Mackenzie Phillips, Laura Marano, Jason Lewis, Richard Dillane, Jonah Lotan, Angel Coulby",,"29000000","21733230",
"119","The Aeronauts","20/09/2020","Action, Adventure, Drama, Romance","8","6.6","60","2019","Tom Harper","Richard Holmes, Tom Harper","Felicity Jones, Vincent Perez, Phoebe Fox, Lewin Lloyd, Himesh Patel, Eddie Redmayne, Robert Glenister, Tim McInnerny, Thomas Arnold, Tom Courtenay, Anne Reid, Lisa Jackson, Rebecca Front, Elsa Alili, Connie Price",,"0","3485251",
"120","The Dawn Wall","21/09/2020","Documentary, Biography, Sport","9","8.1","81","2017","Josh Lowell, Peter Mortimer","Stars:John Branch, Tommy Caldwell, Kevin Jorgeson","John Branch, Tommy Caldwell, Kevin Jorgeson",,"0","1554204",
"121","East Side Sushi","25/09/2020","Drama","7","7.2","70","2015","Anthony Lucero","Anthony Lucero","Diana Elizabeth Torres, Yutaka Takeuchi, Rodrigo Duarte Clark, Kaya Jade Aguirre, Roji Oyama, Miyoko Sakatani, Lane Nishikawa, Melissa Locsin, James J. Der Jr., Bartholomew Wang, Edwin LI, Jesus Fuentes, Kathleen Park, Sara Matsui-Colby, Tomoharu Nakamura",,"0","50869",
"122","A Star Is Born","26/09/2020","Drama, Music, Romance","7","7.6","88","2018","Bradley Cooper","Eric Roth, Bradley Cooper","Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay, Rafi Gavron, Anthony Ramos, Dave Chappelle, Alec Baldwin, Marlon Williams, Brandi Carlile, Ron Rifkin, Barry Shabaka Henley, Michael D. Roberts, Michael Harney, Rebecca Field",,"36000000","436188866","Z:W/So:N/M:N/A:N/B:N/a:N/s:N/C:N"
"123","Big Fish","02/10/2020","Adventure, Drama, Fantasy, Romance","9","8","58","2003","Tim Burton","Daniel Wallace, John August","Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter, Alison Lohman, Robert Guillaume, Marion Cotillard, Matthew McGrory, David Denman, Missi Pyle, Loudon Wainwright III, Ada Tai, Arlene Tai, Steve Buscemi",,"70000000","123218424","Mo:N"
"124","The Report","03/10/2020","Biography, Crime, Drama, History, Thriller","8","7.2","66","2019","Scott Z. Burns","Scott Z. Burns","Adam Driver, Corey Stoll, Evander Duck Jr., Jon Hamm, Linda Powell, Annette Bening, Sandra Landers, John Rothman, Victor Slezak, Guy Boyd, Alexander Chaplin, Joanne Tucker, Maura Tierney, Michael C. Hall, Ian Blackman",,"0","232305",
"125","Enola Holmes","09/10/2020","Action, Adventure, Crime, Drama, Mystery","6","6.6","68","2020","Harry Bradbeer","Jack Thorne, Nancy Springer","Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter, Louis Partridge, Burn Gorman, Adeel Akhtar, Susan Wokoma, Hattie Morahan, David Bamber, Frances de la Tour, Claire Rushbrook, Fiona Shaw, Gaby French, Paul Copley",,"0","0",
"126","#alive","10/10/2020","Action, Drama, Horror, Thriller","5","6.3","0","2020","Il Cho","Il Cho, Matt Naylor","Yoo Ah-in, Park Shin-Hye, Bae-soo Jeon, Hyun-Wook Lee, Hye-Won Oh, Woon Jong Jeon, Kyu-Ho Lee, Chae Kyung Lee, Kyeong-won Son, Yun-ho Park, Seong-soo Han, Danbi Kim, Ra-Hee Kim, Hak-seon Kim, Hee-Jung So","%23Alive (2020)","0","13432212",
"127","The Social Dilemma","12/10/2020","Documentary, Drama","7","7.6","78","2020","Jeff Orlowski","Davis Coombe, Vickie Curtis","Tristan Harris, Jeff Seibert, Bailey Richardson, Joe Toscano, Sandy Parakilas, Guillaume Chaslot, Lynn Fox, Aza Raskin, Alex Roetter, Tim Kendall, Justin Rosenstein, Randy Fernando, Jaron Lanier, Roger McNamee, Shoshana Zuboff",,"0","0",
"130","The Peanut Butter Falcon","17/10/2020","Adventure, Comedy, Drama","7","7.6","70","2019","Tyler Nilson, Michael Schwartz","Tyler Nilson, Michael Schwartz","Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern, Shia LaBeouf, Thomas Haden Church, Rob Thomas, Jon Bernthal, Tim Zajaros, John Hawkes, Yelawolf, Jonathan D. Williams, Deja Dee, Lee Spencer, Mark Helms",,"6200000","133031473",
"132","The Old Man & The Gun","18/10/2020","Biography, Comedy, Crime, Drama, Romance","6","6.7","80","2018","David Lowery","David Lowery, David Grann","Robert Redford, Casey Affleck, Sissy Spacek, Danny Glover, Tom Waits, Tika Sumpter, Ari Elizabeth Johnson, Teagan Johnson, Gene Jones, John David Washington, Barlow Jacobs, Augustine Frizzell, Jennifer Joplin, Lisa DeRoberts, Carter Bratton","The Old Man Gun (2018)","0","17860397",
"133","The Founder","21/10/2020","Biography, Drama","7","7.2","66","2016","John Lee Hancock","Robert Siegel","Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini, B.J. Novak, Laura Dern, Justin Randell Brooke, Kate Kneeland, Patrick Wilson, Griff Furst, Wilbur Fitzgerald, David de Vries, Andrew Benator, Cara Mantella, Randall Taylor",,"25000000","24121245",
"134","The Devil All The Time","23/10/2020","Crime, Drama, Thriller","6","7.1","55","2020","Antonio Campos","Antonio Campos, Paulo Campos","Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen, Mia Wasikowska, Robert Pattinson, Douglas Hodge, Kristin Griffith, Pokey LaFarge, David Atkinson, Matthew Vaughn",,"0","0",
"135","The Assistant","24/10/2020","Drama","6","6.3","79","2019","Kitty Green","Kitty Green","Julia Garner, Owen Holland, Jon Orsini, Rory Kulz, Migs Govea, Daoud Heidami, Ben Maters, Noah Robbins, Tony Torn, Dagmara Dominczyk, Alexander Chaplin, Bregje Heinen, Devon Caraway, Genny Lis Padilla, Clara Wong",,"0","1338881",
"136","My Octopus Teacher","26/10/2020","Documentary","7","8.1","82","2020","Pippa Ehrlich, James Reed","Pippa Ehrlich, James Reed","Craig Foster, Tom Foster",,"0","0","Do:W"
"137","All The Money In The World","28/10/2020","Biography, Crime, Drama, Mystery, Thriller","6","6.8","72","2017","Ridley Scott","David Scarpa, John Pearson","Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris, Timothy Hutton, Charlie Plummer, Charlie Shotwell, Andrew Buchan, Marco Leonardi, Giuseppe Bonifati, Nicolas Vaporidis, Andrea Piedimonte Bodini, Guglielmo Favilla, Nicola Di Chio, Adele Tirante",,"50000000","56996304","a:N"
"138","Rebecca","04/11/2020","Drama, Mystery, Romance, Thriller","6","6","46","2020","Ben Wheatley","Jane Goldman, Joe Shrapnel","Lily James, Jacques Bouanich, Marie Collins, Ann Dowd, Kristin Scott Thomas, Armie Hammer, Jean Dell, Sophie Payan, Pippa Winslow, Lucy Russell, Bruno Paviot, Stefo Linard, Tom Hudson, Jeff Rawle, Ashleigh Reynolds",,"0","0",
"139","The Purge","06/11/2020","Horror, Sci-Fi, Thriller","6","5.7","41","2013","James DeMonaco","James DeMonaco","Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane, Edwin Hodge, Rhys Wakefield, Tony Oller, Arija Bareikis, Tom Yi, Chris Mulkey, Tisha French, Dana Bunch, Peter Gvozdas, John Weselcouch, Alicia Vela-Bailey",,"3000000","89328627",
"140","Free Solo","08/11/2020","Documentary, Adventure, Sport","8","8.2","83","2018","Jimmy Chin, Elizabeth Chai Vasarhelyi","Stars:Alex Honnold, Tommy Caldwell, Jimmy Chin","Alex Honnold, Tommy Caldwell, Jimmy Chin, Cheyne Lempe, Mikey Schaefer, Sanni McCandless, Dierdre Wolownick, Peter Croft",,"0","29318861","Do:W"
"141","Water For Elephants","15/11/2020","Drama, Romance","8","6.9","52","2011","Francis Lawrence","Richard LaGravenese, Sara Gruen","Reese Witherspoon, Robert Pattinson, Christoph Waltz, Paul Schneider, Jim Norton, Hal Holbrook, Mark Povinelli, Richard Brake, Stephen Monroe Taylor, Ken Foree, Scott MacDonald, James Frain, Sam Anderson, John Aylward, Brad Greenquist",,"38000000","117094902",
"142","Happy Death Day 2u","21/11/2020","Comedy, Horror, Mystery, Sci-Fi, Thriller","7","6.2","57","2019","Christopher Landon","Christopher Landon, Scott Lobdell","Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma, Sarah Yarkin, Rachel Matthews, Ruby Modine, Steve Zissis, Charles Aitken, Laura Clifton, Missy Yager, Jason Bayle, Caleb Spillyards, Jimmy Gonzales, Peter Jaymes Jr.",,"9000000","64600152",
"143","Tenet","20/11/2020","Action, Sci-Fi, Thriller","5","7.4","69","2020","Christopher Nolan","Christopher Nolan","Juhan Ulfsak, Jefferson Hall, Ivo Uukkivi, Andrew Howard, John David Washington, Rich Ceraulo Ko, Jonathan Camp, Wes Chatham, Sander Rebane, Martin Donovan, Clémence Poésy, Josh Stewart, Robert Pattinson, Dimple Kapadia, Denzil Smith",,"205000000","363656624","Z:W/P:N"
"144","Palm Springs","25/11/2020","Comedy, Fantasy, Mystery, Romance","8","7.4","83","2020","Max Barbakow","Andy Siara, Max Barbakow","Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher, Meredith Hagner, Camila Mendes, Tyler Hoechlin, Chris Pang, Jacqueline Obradors, June Squibb, Tongayi Chirisa, Dale Dickey, Conner O'Malley, Jena Friedman, Brian Duffy",,"0","1431097",
