"ID","Movies","Date","Genre","Rating","IMDB","Metacritic","Year","Director","Writer","Cast","Search","Budget","Revenue","Oscar"
"15","SHAPE OF WATER","24/01/2020","Adventure, Drama, Fantasy, Romance, Sci-Fi, Thriller","7","7.3","87","2017","Guillermo del Toro","Guillermo del Toro, Vanessa Taylor","Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer, Michael Stuhlbarg, Doug Jones, David Hewlett, Nick Searcy, Stewart Arnott, Nigel Bennett, Lauren Lee Smith, Martin Roach, Allegra Fulton, John Kapelos, Morgan Kelly",,"19400000","195333312","D:W/M:W/Mo:W/P:W/B:N/a:N/b:N/S:N/C:N/Co:N/Z:N/So:N/E:N"
"16","ANNA","27/01/2020","Action, Thriller","6","6.6","40","2019","Luc Besson","Luc Besson","Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Lera Abova, Alexander Petrov, Nikita Pavlenko, Anna Krippa, Aleksey Maslodudov, Eric Godon, Ivan Franek, Jean-Baptiste Puech, Adrian Can, Alison Wheeler, Andrew Howard",,"36521100","31626978",
"17","YESTERDAY","31/01/2020","Comedy, Fantasy, Music, Romance","8","6.8","55","2019","Danny Boyle","Richard Curtis, Jack Barth","Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell, Meera Syal, Harry Michell, Vincent Franklin, Joel Fry, Michael Kiwanuka, Karma Sood, Gus Brown, Sanjeev Bhaskar, Karl Theobald, Alexander Arnold, Dominic Coleman",,"26000000","153178480",
"18","WALK THE LINE","01/02/2020","Biography, Drama, Music, Romance","7","7.8","72","2005","James Mangold","Johnny Cash, Johnny Cash","Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick, Dallas Roberts, Dan John Miller, Larry Bagby, Shelby Lynne, Tyler Hilton, Waylon Payne, Shooter Jennings, Sandra Ellis Lafferty, Dan Beene, Clay Steakley, Johnathan Rice",,"28000000","186797986","B:W/A:N/E:N/Co:N/So:N"
"19","Sherlock holmes","07/02/2020","Action, Adventure, Mystery","8","7.6","57","2009","Guy Ritchie","Michael Robert Johnson, Anthony Peckham","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, Hans Matheson, James Fox, William Hope, Clive Russell, Oran Gurel, David Garrick",,"90000000","524028679","Z:N/Z:N"
"20","World war Z","08/02/2020","Action, Adventure, Horror, Sci-Fi","5","7","63","2013","Marc Forster","Matthew Michael Carnahan, Drew Goddard","Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale, Ludi Boeken, Matthew Fox, Fana Mokoena, David Morse, Elyes Gabel, Peter Capaldi, Pierfrancesco Favino, Ruth Negga, Moritz Bleibtreu, Sterling Jerins, Abigail Hargrove",,"190000000","540007876",
"21","1917","16/02/2020","Drama, Thriller, War","8","8.3","78","2019","Sam Mendes","Sam Mendes, Krysty Wilson-Cairns","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth, Pip Carter, Andy Apollo, Paul Tinto, Josef Davies, Billy Postlethwaite, Gabriel Akuwudike, Andrew Scott, Spike Leighton, Robert Maaser, Gerran Howell, Adam Hugill",,"95000000","384987108","C:W/Z:W/So:W/M:N/D:N/S:N/Z:N/P:N/Mo:N/Z:N"
"22","TRUE GRIT","23/02/2020","Drama, Western","7","7.6","80","2010","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin, Barry Pepper, Dakin Matthews, Jarlath Conroy, Paul Rae, Domhnall Gleeson, Elizabeth Marvel, Roy Lee Jones, Ed Corbin, Leon Russom, Bruce Green, Candyce Hinkle",,"38000000","252276927","M:N/A:N/b:N/D:N/Z:N/C:N/Co:N/So:N/Z:N/Z:N"
"23","PARASITE","20/02/2020","Comedy, Drama, Thriller","8","8.6","96","2019","Bong Joon Ho","Bong Joon Ho, Bong Joon Ho","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Woo-sik Choi, So-dam Park, Lee Jeong-eun, Hye-jin Jang, Myeong-hoon Park, Ji-so Jung, Hyun-jun Jung, Keun-rok Park, Yi-Seo Jung, Jae-myeong Jo, Ik-han Jung, Kyu-baek Kim",,"11400000","258857505","M:W/D:W/S:W/I:W/P:N/E:N"
"24","SPOTLIGHT","01/03/2020","Biography, Crime, Drama","7","8.1","93","2015","Tom McCarthy","Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery, Brian d'Arcy James, Stanley Tucci, Elena Wohl, Gene Amoroso, Doug Murray, Sharon McFarlane, Jamey Sheridan, Neal Huff, Billy Crudup, Robert B. Kennedy",,"20000000","98690254","M:W/S:W/a:N/b:N/D:N/E:N"
"25","THE REVOLUTIONARY ROAD","08/03/2020","Drama, Romance","6","7.3","69","2009","Sam Mendes","Justin Haythe, Richard Yates","Kate Winslet, Leonardo DiCaprio, Christopher Fitzgerald, Jonathan Roumie, Neal Bledsoe, Marin Ireland, Samantha Soule, Heidi Armbruster, Sam Rosen, Maria Rusolo, Gena Oppenheim, Kathryn Dunn, Joe Komara, Allison Twyford, David Harbour",,"35000000","75981180","a:N/Z:N/Co:N"
"26","DARK WATERS","09/03/2020","Biography, Drama, History, Thriller","8","7.6","73","2019","Todd Haynes","Nathaniel Rich, Mario Correa","Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Louisa Krause, Kevin Crowley, Bruce Cromer, Denise Dal Vera, Richard Hagerman, Abi Van Andel, John Newberg",,"0","23108017",
"27","A Friendly Tale","13/03/2020",,"8","6.2","0","2020","Daniel Cohen","Daniel Cohen, Olivier Dazat","Bérénice Bejo, Vincent Cassel, François Damiens, Florence Foresti, Daniel Cohen, Keren-Ann Zajtelbach, Owen Tannou, Romain Cottard, Alice Carel, Bruno Gouery, Constance Labbé, François-Eric Gendron, Angelina Wismes, Anne-Gaëlle Jourdain, Laurent Mentec",,"0","2498547",
"28","THE DARK TOWER","20/03/2020","Action, Adventure, Fantasy, Sci-Fi, Western","6","5.6","34","2017","Nikolaj Arcel","Akiva Goldsman, Jeff Pinkner","Matthew McConaughey, Idris Elba, Tom Taylor, Dennis Haysbert, Ben Gavin, Claudia Kim, Jackie Earle Haley, Fran Kranz, Abbey Lee, Katheryn Winnick, Nicholas Pauling, Michael Barbieri, José Zúñiga, Nicholas Hamilton, Inge Beckmann",,"60000000","113231078",
"29","THE INVISIBLE MAN","21/03/2020","Drama, Horror, Mystery, Sci-Fi, Thriller","7","7.1","72","2020","Leigh Whannell","Leigh Whannell, Leigh Whannell","Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge, Storm Reid, Michael Dorman, Benedict Hardie, Renee Lim, Brian Meegan, Nick Kici, Vivienne Greer, Nicholas Hope, Cleave Williams, Cardwell Lynch, Sam Smith",,"7000000","143151000",
"30","KING'S SPEECH","26/03/2020","Biography, Drama, History","8","8","88","2010","Tom Hooper","David Seidler","Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal, Richard Dixon, Paul Trussell, Adrian Scarborough, Andrew Havill, Charles Armstrong, Roger Hammond, Geoffrey Rush, Calum Gittins, Jennifer Ehle, Dominic Applewhite, Ben Wimsett",,"15000000","427374317","M:W/A:W/D:W/S:W/a:N/b:N/C:N/E:N/Co:N/Z:N/So:N/Z:N"
"31","BIG EYES","28/03/2020","Biography, Crime, Drama, Romance","7","7","62","2014","Tim Burton","Scott Alexander, Larry Karaszewski","Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter, Jason Schwartzman, Terence Stamp, Jon Polito, Delaney Raye, Madeleine Arthur, James Saito, Farryn VanHumbeck, Guido Furlani, Elisabetta Fantone, Emily Maddison, Brent Chapman",,"10000000","29253166",
"32","Sea Inside","27/03/2020","Biography, Drama","7","8","74","2004","Alejandro Amenábar","Alejandro Amenábar, Mateo Gil","Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera, Celso Bugallo, Clara Segura, Joan Dalmau, Alberto Jiménez, Tamar Novas, Francesc Garrido, Josep Maria Pou, Alberto Amarilla, Andrea Occhipinti, Federico Pérez Rey, Nicolás Fernández Luna",,"11900000","43731621","Z:W/Z:N"
"33","The Rainmaker","30/03/2020","Crime, Drama, Thriller","7","7.2","72","1996","Francis Ford Coppola","John Grisham, Francis Ford Coppola","Matt Damon, Danny DeVito, Claire Danes, Jon Voight, Mary Kay Place, Dean Stockwell, Teresa Wright, Virginia Madsen, Mickey Rourke, Andrew Shue, Red West, Johnny Whitworth, Wayne Emmons, Adrian Roberts, Roy Scheider",,"40000000","45916769",
"34","Capote","29/03/2020","Biography, Crime, Drama","7","7","68","2006","Douglas McGrath","Douglas McGrath, George Plimpton","Sigourney Weaver, Toby Jones, Gwyneth Paltrow, Sandra Bullock, Isabella Rossellini, Peter Bogdanovich, Rey Arteaga, Jeff Daniels, Daniel Craig, Justin Sherburn, Andrew Halbreich, Juliet Stevenson, Michael Panes, Hope Davis, Frank G. Curcio",,"13000000","2689799",
"35","The Platform","03/04/2020","Horror, Sci-Fi, Thriller","7","7","73","2019","Galder Gaztelu-Urrutia","David Desola, Pedro Rivero","Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale, Alexandra Masangkay, Zihara Llana, Mario Pardo, Algis Arlauskas, Txubio Fernández de Jáuregui, Eric Goode, Óscar Oliver, Chema Trujillo, Miriam Martín, Gorka Zufiaurre, Miriam K. Martxante",,"0","1090116",
"36","Miss Americana","05/04/2020","Documentary, Biography, Music","7","7.4","65","2020","Lana Wilson","Stars:Taylor Swift, Andrea Swift, Scott Swift","Taylor Swift, Andrea Swift, Scott Swift, Joel Little, Tree Paine, Jack Antonoff, Kamilah Marshall, Melanie Nyema, Max Martin, Dave Meyers, Paul Sidoti, Brendon Urie, Bobby Berk, Karamo Brown, Tan France",,"0","0",
"37","The Hunger Games: Catching Fire","09/04/2020","Action, Adventure, Mystery, Sci-Fi, Thriller","7","7.5","76","2013","Francis Lawrence","Simon Beaufoy, Michael Arndt ","Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair, Sandra Ellis Lafferty, Woody Harrelson, Josh Hutcherson, Paula Malcomson, Willow Shields, Donald Sutherland, Elizabeth Banks, Bruce Bundy, Nelson Ascencio, Lenny Kravitz, Stanley Tucci",,"130000000","865011746",
"38","A Dog’s purpose","10/04/2020","Adventure, Comedy, Drama, Family, Fantasy","7","7.2","43","2017","Lasse Hallström","W. Bruce Cameron, Cathryn Michon","Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar, K.J. Apa, Juliet Rylance, Luke Kirby, Gabrielle Rose, Michael Bofshever, Britt Robertson, Logan Miller, Kirby Howell-Baptiste, Pooch Hall, John Ortiz, Nicole LaPlaca",,"22000000","205035819",
"39","La La Land","11/04/2020","Comedy, Drama, Music, Musical, Romance","9","8","94","2016","Damien Chazelle","Damien Chazelle","Ryan Gosling, Emma Stone, Amiee Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Rosemarie DeWitt, J.K. Simmons, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer",,"30000000","448864344","B:W/D:W/C:W/Mo:W/Z:W/P:W/M:N/A:N/S:N/E:N/Co:N/So:N/Z:N/Z:N"
"40","Marriage Story","12/04/2020","Comedy, Drama, Romance","8","7.9","94","2019","Noah Baumbach","Noah Baumbach","Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson, Wallace Shawn, Matthew Maher, Eric Berryman, Mickey Sumner, David Turner, Gideon Glick, Jasmine Cephas Jones, Motell Gyn Foster, Raymond J. Lee, Mary Wiseman, Pete Simpson",,"18600000","333686","b:W/M:N/B:N/A:N/S:N/Mo:N"
"41","Sicario","13/04/2020","Action, Crime, Drama, Mystery, Thriller","7","7.6","82","2015","Denis Villeneuve","Taylor Sheridan","Emily Blunt, Benicio Del Toro, Josh Brolin, Victor Garber, Jon Bernthal, Daniel Kaluuya, Jeffrey Donovan, Raoul Max Trujillo, Julio Cesar Cedillo, Hank Rogerson, Bernardo Saracino, Maximiliano Hernández, Kevin Wiggins, Edgar Arreola, Kim Larrichio",,"30000000","84872444","C:N/Z:N/Z:N"
"42","Eternal Sunshine of the Spotless Mind","15/04/2020","Drama, Romance, Sci-Fi","7","8.3","89","2004","Michel Gondry","Charlie Kaufman, Michel Gondry","Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood, Thomas Jay Ryan, Mark Ruffalo, Jane Adams, David Cross, Kirsten Dunst, Tom Wilkinson, Ryan Whitney, Debbon Ayer, Amir Ali Said, Brian Price, Paulie Litt",,"20000000","74036715","S:W/B:N"
"43","Uncut Gems","21/04/2020","Crime, Drama, Thriller","6","7.4","91","2019","Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie","Mesfin Lamengo, Sun Zhi Hua-Hilton, Liang Wei-Hui-Duncan, Sunny Wu Jin Zahao, Deneke Muhugeta, Habtunu Africho, Warren Finkelstein, Adam Sandler, Keith William Richards, Tommy Kominik, LaKeith Stanfield, Maksud Agadjani, Ca$h Out, Andrea Linsky, Roman Persits",,"19000000","50023780",
"44","The Hunger Games: Mockingjay Part I","24/04/2020","Action, Adventure, Sci-Fi, Thriller","5","6.6","65","2014","Francis Lawrence","Peter Craig, Danny Strong","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Donald Sutherland, Philip Seymour Hoffman, Julianne Moore, Willow Shields, Sam Claflin, Elizabeth Banks, Mahershala Ali, Jena Malone, Jeffrey Wright, Paula Malcomson, Stanley Tucci",,"160000000","658344137",
"45","Nice Guys","23/04/2020","Action, Comedy, Crime, Thriller","7","7.4","70","2016","Shane Black","Shane Black, Anthony Bagarozzi","Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Yaya DaCosta, Keith David, Beau Knapp, Lois Smith, Murielle Telio, Gil Gerard, Daisy Tahan, Kim Basinger, Jack Kilmer, Lance Valentine Butler",,"50000000","62788218",
"46","Secret in their eyes","25/04/2020","Crime, Drama, Mystery, Thriller","7","6.3","45","2015","Billy Ray","Billy Ray, Juan José Campanella","Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris, Alfred Molina, Joe Cole, Michael Kelly, Zoe Graham, Patrick Davis Alarcón, Eileen Fogarty, Lyndon Smith, Kim Yarbrough, Mark Famiglietti, Amir Malaklou, Niko Nicotera",,"19500000","34854990",
"47","Rocknrolla","28/04/2020","Action, Crime, Thriller","8","7.3","53","2008","Guy Ritchie","Guy Ritchie","Gerard Butler, Tom Wilkinson, Thandiwe Newton, Mark Strong, Idris Elba, Tom Hardy, Karel Roden, Toby Kebbell, Jeremy Piven, Ludacris, Jimi Mistry, Matt King, Geoff Bell, Dragan Micanovic, Michael Ryan",,"18000000","25740863",
"48","Blackkklansman","02/05/2020","Biography, Comedy, Crime, Drama","6","7.5","83","2018","Spike Lee","Charlie Wachtel, David Rabinowitz","Alec Baldwin, John David Washington, Isiah Whitlock Jr., Robert John Burke, Brian Tarantina, Arthur J. Nascarella, Ken Garito, Frederick Weller, Adam Driver, Michael Buscemi, Laura Harrier, Damaris Lewis, Ato Blankson-Wood, Corey Hawkins, Dared Wright",,"15000000","93413417","s:W/Mo:N/M:N/D:N/a:N/E:N"
"49","Molly’s Game","03/05/2020","Biography, Crime, Drama","9","7.4","71","2017","Aaron Sorkin","Aaron Sorkin, Molly Bloom","Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera, Jeremy Strong, Chris O'Dowd, J.C. MacKenzie, Brian d'Arcy James, Bill Camp, Graham Greene, Justin Kirk, Angela Gots, Natalie Krill, Stephanie Herfield, Madison McKinley",,"30000000","59284015","s:N"
"50","The Big Sick","08/05/2020","Comedy, Drama, Romance","7","7.5","86","2017","Michael Showalter","Emily V. Gordon, Kumail Nanjiani","Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Anupam Kher, Zenobia Shroff, Adeel Akhtar, Bo Burnham, Aidy Bryant, Kurt Braunohler, Vella Lovell, Myra Lucretia Taylor, Jeremy Shamos, David Alan Grier, Ed Herbstman",,"5000000","56411585","S:N"
